row_id,variant,video_id,HUMAN_ground_truth_explanation,AI_explanation,human_C (1-5),human_S (1-5),human_Co (1-5),human_F (1-5),GPT_C_HIDE_until_done,GPT_S_HIDE,GPT_Co_HIDE,GPT_F_HIDE
1,zero-shot,12_0142,A person in a gray shirt is riding a bicycle in a pedestrian area where cycling is not allowed.,"An anomalous event occurs in a public plaza where a person on a bicycle enters the scene and rides across the paved area, intersecting with pedestrians, including a couple pushing a stroller. This behavior is anomalous because cycling is typically restricted or uncommon in pedestrian zones, and the cyclist's movement disrupts the normal walking flow. The anomaly peaks around snippets 7–9 and gradually resolves as the cyclist exits the frame and pedestrians continue walking normally by snippet 36.",,,,,5,5,5,5
2,rag,01_0015,"A person in a red shirt is skateboarding in a pedestrian-only area where skateboarding is not allowed, followed by another person in a white shirt who is also skateboarding.","The video shows a pedestrian area with several individuals walking normally, including a person in a patterned shirt and jeans walking across the center, and others in the background. The anomaly scores are low (0.4034 and 0.3180), indicating no significant anomalous activity such as cycling or using a trolley. The behavior observed is consistent with normal pedestrian movement, and no clear deviation from expected activity is present.",,,,,1,1,1,4
3,lora_v1,01_0053,A person in a red shirt is driving a tricycle in a pedestrian area where such vehicles are not allowed.,"A green three-wheeled utility vehicle, driven by a man in a red shirt, enters the paved plaza from the left and drives across the area, which is unusual as the space is designated for pedestrian use. The vehicle's presence and movement through the pedestrian zone, where people are walking normally, constitutes the anomaly, as motorized vehicles are not expected in this environment. The anomaly peaks from snippet 6 to snippet 16 as the vehicle traverses the plaza, and then resolves as it exits the frame.",,,,,4,5,4,5
4,lora_v3,12_0174,A girl in a white shirt is riding a bicycle in a pedestrian area where cycling is not allowed.,"A man in a white shirt and dark shorts, carrying a backpack, walks across a paved plaza. Around snippet 5, a cyclist on a small bicycle enters the scene from the left and rides across the plaza in the same direction as the man, passing him. The anomaly peaks when both individuals are present and moving simultaneously, which is unusual for this quiet, low-traffic area where pedestrian and cyclist interactions are rare. The anomaly subsides as the cyclist exits the frame by snippet 16, returning to normal pedestrian-only activity.",,,,,2,5,2,5
5,lora_v3,01_0027,A person in black shirt pushed a person in white shirt while running,"A group of four young males walks across a paved plaza in a coordinated, side-by-side formation, moving from right to left across the frame. This behavior is anomalous because it deviates from typical pedestrian patterns, which usually involve individuals or small groups walking independently or in loose clusters, rather than maintaining a synchronized, parallel formation over an extended period. The anomaly peaks between snippets 12 and 14, then gradually resolves as the group disperses and exits the scene.",,,,,1,1,1,4
6,lora_v1,01_0139,A person in a blue shirt is riding a bicycle in a pedestrian-only area where cycling is not allowed.,"A boy in a blue shirt rides a bicycle across a pedestrian plaza, which is anomalous because cycling is not permitted in this area designated for walking. The anomaly peaks when the boy is in the center of the plaza (snippet 7, score 1.000) and continues as he rides toward the right edge (snippet 10, score 0.999), deviating from normal pedestrian behavior.",,,,,5,5,5,5
7,lora_v1,01_0056,A girl in a white shirt is skateboarding in a pedestrian area.,"A boy in a light green shirt and dark shorts is walking across a paved plaza while holding a red object, possibly a toy or small bag, in his right hand. This behavior is anomalous because, in a typical pedestrian environment, individuals do not usually walk while holding a small object in a manner that suggests it is being used as a prop or toy, especially in an open public space where such activity is uncommon. The anomaly occurs in snippets 23-24, with the highest score in snippet 24, indicating the peak of the unusual behavior.",,,,,1,3,1,4
8,lora_v1,03_0031,A person in a red shirt snatch a bag from a pedestrian in a blue shirt and runs away.,"Two men are walking across a pedestrian crossing, but then suddenly start running in the same direction, which is unusual behavior for a pedestrian crossing.",,,,,2,2,2,4
9,zero-shot,12_0151,A girl in a white shirt is riding a bicycle in a pedestrian area where cycling is not allowed.,"A man in a yellow shirt walks across a paved plaza, initially alone, but as the sequence progresses, a woman on a bicycle enters from the background and rides directly across the plaza, passing close to the man. The anomaly peaks when the cyclist moves through the central area of the plaza, which is typically a pedestrian zone, and the man continues walking without reacting. This is anomalous because cycling through a pedestrian plaza is a deviation from expected behavior in such a space, especially when it involves close proximity to pedestrians without yielding or slowing down.",,,,,4,4,3,5
10,lora_v3,01_0051,A person in grey shirt and another person in mint/lightgreen shirt are riding two different bicycles in a pedestrian-only area where cycling is not allowed.,"A man on a bicycle enters the paved plaza from the left and rides across the area, passing two pedestrians who are walking on the right side. The anomaly begins around snippet 2 (frame 40) as the cyclist appears, peaks between snippets 7–14 (frames 120–232) as he traverses the space, and resolves by snippet 20 (frame 328) as he exits. This is anomalous because cycling is unexpected in a pedestrian-only plaza, creating a safety risk and violating typical behavior patterns in such a public space.",,,,,3,3,3,5
